pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag,hwc
55 Cnc c,55 Cnc,1,2,5,Radial Velocity,2004,44.3989,0.2373,,,51.2,0.1611,Msini,0.03,,,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,6.816,5.95084,0
55 Cnc d,55 Cnc,1,2,5,Radial Velocity,2002,5574.2,5.957,,,991.6,3.12,Msini,0.13,,,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,6.816,5.95084,0
55 Cnc e,55 Cnc,1,2,5,Radial Velocity,2004,0.7365474,0.01544,1.875,0.167,7.99,0.02514,Mass,0.05,,,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,6.816,5.95084,0
55 Cnc f,55 Cnc,1,2,5,Radial Velocity,2007,259.88,0.7708,,,47.8,0.1503,Msini,0.08,,,,5172.0,0.94,0.91,0.35,[Fe/H],4.43,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,6.816,5.95084,0
6 Lyn b,6 Lyn,1,1,1,Radial Velocity,2008,919.86,2.028,,,597.83523,1.881,Msini,0.042,,,K0 IV,4941.0,4.94,1.32,-0.17,[Fe/H],3.16,,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,6.796,5.87307,0
61 Vir b,61 Vir,1,1,3,Radial Velocity,2009,4.215,0.050201,,,5.1,0.016,Msini,0.12,,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,8.96,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.072,4.6955,0
61 Vir c,61 Vir,1,1,3,Radial Velocity,2009,38.021,0.2175,,,18.2,0.057,Msini,0.14,,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,8.96,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.072,4.6955,0
61 Vir d,61 Vir,1,1,3,Radial Velocity,2009,123.01,0.476,,,22.9,0.072,Msini,0.35,,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,8.96,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.072,4.6955,0
7 CMa b,7 CMa,1,1,2,Radial Velocity,2011,735.1,1.758,,,587.9855,1.85,Msin(i)/sin(i),0.06,,,,4826.0,4.87,1.34,0.21,[Fe/H],3.19,4.3,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,5.013,3.95,0
7 CMa c,7 CMa,1,1,2,Radial Velocity,2019,996.0,2.153,,,276.5121,0.87,Msin(i)/sin(i),0.08,,,,4826.0,4.87,1.34,0.21,[Fe/H],3.19,4.3,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,5.013,3.95,0
70 Vir b,70 Vir,1,1,1,Radial Velocity,1996,116.688,0.481,,,2357.02728,7.416,Msini,0.3988,,,,5495.0,1.89,1.09,,,3.95,,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011,5.678,4.96808,0
75 Cet b,75 Cet,1,2,2,Radial Velocity,2012,696.62,1.912,,,787.89662,2.479,Msini,0.093,,,G3 III,4809.0,10.38,1.92,0.1,[Fe/H],2.69,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,6.366,5.3532,0
75 Cet c,75 Cet,1,2,2,Radial Velocity,2023,2051.62,3.929,,,289.85951,0.912,Msini,0.023,,,G3 III,4809.0,10.38,1.92,0.1,[Fe/H],2.69,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,6.366,5.3532,0
8 UMi b,8 UMi,1,1,1,Radial Velocity,2015,93.4,0.49,,,416.3573,1.31,Msini,0.06,,,,4847.0,10.3,1.44,-0.03,[Fe/H],2.57,,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,162.552,7.834,6.83295,0
81 Cet b,81 Cet,1,1,1,Radial Velocity,2008,1005.57,2.104,,,1051.05854,3.307,Msini,0.037,,,G5 III,4734.0,11.21,1.23,-0.11,[Fe/H],2.41,,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26,6.675,5.64307,0
91 Aqr b,91 Aqr,1,3,1,Radial Velocity,2013,181.4,0.7,,,1017.0,3.2,Msini,0.027,,,K0 III,4665.0,11.0,1.4,-0.03,[Fe/H],2.52,3.56,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304,5.35,4.23946,0
AB Aur b,AB Aur,1,1,1,Imaging,2022,,93.9,,,2860.45566,9.0,Mass,0.4,,,,9770.0,,2.4,,,,0.003,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.127,7.193,7.076,0
AB Pic b,AB Pic,1,1,1,Imaging,2005,,260.0,,,4290.5,13.5,Mass,,,,K2 V,,,,,,,0.03,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475,10.148,9.13,0
AF Lep b,AF Lep,1,1,1,Imaging,2023,8030.0,8.4,,,1017.0509,3.2,Mass,0.24,,,F8 V,6130.0,1.25,1.2,0.19,[Fe/H],,0.024,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564,6.854,6.332,0
AU Mic b,AU Mic,1,1,3,Transit,2020,8.4629991,0.0645,,,20.12,0.0633,Mass,0.186,,,,,,0.5,,,,,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,10.209,8.81,0
AU Mic c,AU Mic,1,1,3,Transit,2021,18.858991,0.1101,,,9.6,0.0302,Mass,,,,,,,0.5,,,,,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,10.209,8.81,0
AU Mic d,AU Mic,1,1,3,Transit Timing Variations,2023,12.73596,,,,1.053,0.00331,Mass,0.00305,,,,3678.0,0.74,0.51,0.23,[Fe/H],4.4,0.02,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,10.209,8.81,0
BD+03 2562 b,BD+03 2562,1,1,1,Radial Velocity,2017,481.9,1.3,,,2034.112,6.4,Msini,0.2,,,,4095.0,32.35,1.14,-0.71,[Fe/H],1.89,5.2,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.63,10.795,9.577,0
BD+14 4559 b,BD+14 4559,1,1,1,Radial Velocity,2009,268.94,0.78,,,330.5432,1.04,Msini,0.29,,,,4864.0,0.86,0.49,0.17,[Fe/H],4.26,,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,10.581,9.78,0
BD+15 2375 b,BD+15 2375,1,1,1,Radial Velocity,2016,153.22,0.576,,,337.21763,1.061,Msini,0.001,,,,4649.0,8.95,1.08,-0.22,[Fe/H],2.61,7.41,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.045,11.387,10.41,0
BD+15 2940 b,BD+15 2940,1,1,1,Radial Velocity,2013,137.48,0.539,,,352.78,1.11,Msini,0.26,,,K0,4796.0,14.7,1.1,0.28,[Fe/H],2.8,7.1,16h00m22.95s,240.09564,+15d32m48.30s,15.5467507,426.42,10.121,9.01,0
BD+20 2457 b,BD+20 2457,1,1,2,Radial Velocity,2009,379.63,1.45,,,6807.63,21.42,Msini,0.15,,,K2 II,4137.0,49.0,2.8,-1.0,[Fe/H],1.51,,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,10.989,9.743,0
BD+20 2457 c,BD+20 2457,1,1,2,Radial Velocity,2009,621.99,2.01,,,3963.17,12.47,Msini,0.18,,,K2 II,4137.0,49.0,2.8,-1.0,[Fe/H],1.51,,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,10.989,9.743,0
BD+20 274 b,BD+20 274,1,1,1,Radial Velocity,2012,578.2,1.3,,,1334.886,4.2,Msini,0.21,,,K5 III,4296.0,17.3,0.8,-0.46,[Fe/H],1.99,,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.51,10.72,9.367,0
BD+20 594 b,BD+20 594,1,1,1,Transit,2016,41.6855,,2.578,0.23,22.2481,0.07,Mass,0.0,,,,5766.0,1.08,1.67,-0.15,[Fe/H],4.5,,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,11.765,10.849,0
BD+45 564 b,BD+45 564,1,1,1,Radial Velocity,2021,307.88,0.83,,,432.24663,1.36,Msini,0.12,,,K1,5004.0,,0.81,-0.09,[Fe/H],4.22,,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.622,10.536,9.67,0
BD+48 738 b,BD+48 738,1,1,1,Radial Velocity,2011,392.6,1.0,,,289.2253,0.91,Msini,0.2,,,K0 III,4414.0,11.0,0.74,-0.2,[Fe/H],2.24,,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.493,10.352,9.139,0
BD+48 740 b,BD+48 740,1,1,1,Radial Velocity,2018,733.0,1.7,,,540.311,1.7,Msini,0.76,,,,4534.0,10.33,1.09,-0.13,[Fe/H],2.48,,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.589,10.51,8.69,0
BD+49 828 b,BD+49 828,1,1,1,Radial Velocity,2015,2590.0,4.2,,,508.5,1.6,Msini,0.35,,,K0,4943.0,7.6,1.52,-0.19,[Fe/H],2.85,2.34,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.042,10.508,9.381,0
BD+55 362 b,BD+55 362,1,1,1,Radial Velocity,2021,265.59,0.78,,,228.83645,0.72,Msini,0.27,,,K3,5012.0,,0.91,0.18,[Fe/H],4.09,,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697,10.299,9.38,0
BD+60 1417 b,BD+60 1417,1,1,1,Imaging,2021,,1662.0,14.684,1.31,4767.4261,15.0,Mass,,,1303.0,K0,4993.0,0.8,1.0,,,4.55,0.1,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543,10.379,9.374,0
BD+63 1405 b,BD+63 1405,1,1,1,Radial Velocity,2021,1198.48,2.06,,,1258.60049,3.96,Msini,0.88,,,K0,5000.0,,0.82,-0.09,[Fe/H],4.2,,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473,9.83,8.96,0
BD-00 4475 b,BD-00 4475,1,1,1,Radial Velocity,2021,723.2,1.48,,,7961.6016,25.05,Msini,0.39,,,G0,5040.0,,0.81,-0.14,[Fe/H],4.25,,23h10m50.60s,347.7108441,+00d24m30.82s,0.4085612,42.6402,9.914,9.01,0
BD-06 1339 b,BD-06 1339,1,1,2,Radial Velocity,2013,3.8728,0.0428,,,8.5,0.027,Msini,0.0,,,K7/M0 V,4324.0,,0.7,-0.14,[Fe/H],4.74,4.4,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,10.972,9.7,0
BD-06 1339 c,BD-06 1339,1,1,2,Radial Velocity,2013,125.94,0.435,,,53.0,0.17,Msini,0.31,,,K7/M0 V,4324.0,,0.7,-0.14,[Fe/H],4.74,4.4,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,10.972,9.7,0
BD-08 2823 b,BD-08 2823,1,1,2,Radial Velocity,2009,5.6,0.06,,,12.7132,0.04,Msini,0.15,,,,4816.0,0.71,0.5,-0.06,[Fe/H],4.43,,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,10.88,9.86,0
BD-08 2823 c,BD-08 2823,1,1,2,Radial Velocity,2009,237.6,0.68,,,104.0,0.33,Msini,0.19,,,K3 V,4746.0,,0.74,-0.07,[Fe/H],4.13,4.5,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,10.88,9.86,0
BD-10 3166 b,BD-10 3166,1,1,1,Radial Velocity,2000,3.48777,0.04,,,187.5197,0.59,Msini,0.02,,,,5393.0,0.91,1.47,0.38,[Fe/H],4.69,,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069,10.878,10.013,0
BD-11 4672 b,BD-11 4672,1,1,2,Radial Velocity,2014,1634.0,2.36,,,206.5895,0.65,Msini,0.05,,,,4550.0,0.64,0.65,-0.35,[Fe/H],4.64,7.4,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,11.243,10.03,0
BD-11 4672 c,BD-11 4672,1,1,2,Radial Velocity,2020,74.2,0.3,,,15.37,0.04836,Msini,0.4,,,,4550.0,0.64,0.65,-0.35,[Fe/H],4.64,7.4,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665,11.243,10.03,0
BD-13 2130 b,BD-13 2130,1,1,1,Radial Velocity,2007,714.29999,1.66,,,3108.3774,9.78,Msini,0.21,,,,4545.0,19.17,2.12,-0.08,[Fe/H],2.2,,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.214,11.313,10.038,0
BD-17 63 b,BD-17 63,1,1,1,Radial Velocity,2008,655.6,1.34,,,1620.9,5.1,Msini,0.54,,,K5 V,4714.0,0.69,0.74,-0.03,[Fe/H],4.26,4.3,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603,10.677,9.62,0
BD-210397 b,BD-210397,1,1,2,Radial Velocity,2023,1891.0,2.63,,,214.0,0.7,Msini,0.1,0.02,,K7 V,4051.0,0.75,0.68,0.12,[Fe/H],4.67,6.2,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324,11.137,9.84,0
BD-210397 c,BD-210397,1,1,2,Radial Velocity,2023,6240.0,5.9,,,1525.57635,4.8,Mass,0.43,,,K7 V,,,0.69,,,,4.0,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324,11.137,9.84,0
CD Cet b,CD Cet,1,1,1,Radial Velocity,2020,2.2907,0.0185,,,3.95,0.01243,Msini,,8.6,464.0,M5.0 V,3130.0,0.17,0.16,0.13,[Fe/H],4.93,3.0,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,8.60715,,13.95,0
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,1,Imaging,2011,10037.5,2.6,,,3337.1,10.5,Mass,,,370.0,,580.5,,0.02,,,4.72,,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,,,,0
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,Imaging,2021,8040000.0,200.0,20.849,1.86,2479.06157,7.8,Mass,,,1800.0,M9-L1,2320.0,0.24,0.01,,,3.85,0.003,16h27m44.23s,246.934277,-23d58m52.14s,-23.98115,,,,0
CHXR 73 b,CHXR 73,1,1,1,Imaging,2006,,210.0,,,3994.486,12.569,Mass,,,,M3.5,,,0.35,,,,0.002,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,190.374,,,0
CI Tau b,CI Tau,1,1,1,Radial Velocity,2019,8.9891,,,,3686.828,11.6,Mass,0.25,,,K7,,,0.9,,,,0.003,04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192,157.998,15.56,13.642,0
COCONUTS-2 b,COCONUTS-2 A,1,1,1,Imaging,2021,402000000.0,7506.0,12.442,1.11,2002.31896,6.3,Mass,,,434.0,M3 V,3406.0,0.39,0.37,0.0,[Fe/H],4.83,0.475,07h49m12.22s,117.300914,-76d42m09.71s,-76.702696,10.8864,12.983,11.298,0
CT Cha b,CT Cha,1,1,1,Imaging,2007,,440.0,24.66,2.2,5403.0,17.0,Mass,,,2600.0,,,,,,,,0.002,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.72,13.799,12.335,0
CoRoT-1 b,CoRoT-1,1,1,1,Transit,2008,1.5089557,,16.7,1.49,327.35,1.03,Mass,0.0,,1898.0,G0 V,5950.0,1.11,0.95,-0.3,[M/H],4.25,,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.909,14.158,13.623,0
CoRoT-10 b,CoRoT-10,1,1,1,Transit,2010,13.2406,0.1055,10.87,0.97,874.0,2.75,Mass,0.53,,600.0,K1 V,5075.0,0.79,0.89,0.26,[Fe/H],4.65,3.0,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.386,17.344,15.293,0
CoRoT-11 b,CoRoT-11,1,1,1,Transit,2010,2.99433,0.0436,16.03,1.43,740.51,2.33,Mass,0.0,,1657.0,F6 V,6440.0,1.37,1.27,-0.03,[Fe/H],4.22,2.0,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.037,13.529,12.897,0
CoRoT-12 b,CoRoT-12,1,1,1,Transit,2010,2.828042,0.04016,16.14,1.44,291.438,0.917,Mass,0.07,,1442.0,,5675.0,1.12,1.08,0.16,[Fe/H],4.38,6.3,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.37,16.408,15.588,0
CoRoT-13 b,CoRoT-13,1,1,1,Transit,2010,4.03519,0.051,9.92,0.885,415.704,1.308,Mass,0.0,,1700.0,G0 V,5945.0,1.01,1.09,0.01,[Fe/H],4.46,1.635,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.93,15.21,15.005,0
CoRoT-14 b,CoRoT-14,1,1,1,Transit,2010,1.51214,0.027,12.22,1.09,2415.4,7.6,Mass,0.0,,1952.0,F9 V,6035.0,1.21,1.13,0.05,[Fe/H],4.35,4.2,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6,17.011,15.932,0
CoRoT-16 b,CoRoT-16,1,1,1,Transit,2011,5.35227,0.0618,13.11,1.17,170.032,0.535,Mass,0.33,,,G5 V,5650.0,1.19,1.1,0.19,[M/H],4.36,6.73,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,732.409,17.417,16.052,0
CoRoT-17 b,CoRoT-17,1,1,1,Transit,2011,3.7681,0.0461,11.43,1.02,772.29,2.43,Mass,0.0,,1626.0,G2 V,5740.0,1.59,1.04,0.0,[Fe/H],4.4,10.7,18h34m47.82s,278.699236,-06d36m44.24s,-6.612288,1176.12,17.59,16.29,0
CoRoT-18 b,CoRoT-18,1,1,1,Transit,2011,1.9000693,0.0295,14.68,1.31,1102.82,3.47,Mass,0.08,,1550.0,G9 V,5440.0,1.0,0.95,-0.1,[Fe/H],4.4,,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.889,15.751,14.868,0
CoRoT-19 b,CoRoT-19,1,1,1,Transit,2011,3.89713,0.0518,14.46,1.29,352.78,1.11,Mass,0.047,,2000.0,F9 V,6090.0,1.65,1.21,-0.02,[Fe/H],4.07,5.0,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,790.663,14.905,14.135,0
CoRoT-2 b,CoRoT-2,1,2,1,Transit,2008,1.7429935,0.02798,16.432,1.466,1102.82,3.47,Mass,0.0143,,,,5625.0,0.91,0.96,,,,2.7,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,213.283,13.346,12.516,0
CoRoT-20 b,CoRoT-20,1,1,2,Transit,2011,9.24285,0.09,,,1366.669,4.3,Mass,0.59,,,,,,1.14,,,,,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.061,15.613,14.63,0
